822125	01205870	2	090	UNK	LIF		Q
825016	01209614	2	095	E	LIF		A
825618	01210377	3	UNK	UNK	LIF		A
826930	01212136	3	080	UNK	LIF		Q
826937	01212148	1	090	UNK	LIF		A
826941	01212154	N	080	A	LIF		Q
826983	01212215	2	100	UNK	LIF		Q
830073	01216106	N	110	UNK	LIF		A
831615	01218072	2	115	UNK	LIF		A
832564	01219281	N	120	UNK	LIF		A
832616	01219347	N	120	UNK	LIF		A
832701	01219456	3	100	E	LIF		A
836915	01224815	2	105	UNK	LIF		A
838212	01226567	N	075	UNK	LIF		Q
841298	01230578	3	095	UNK	LIF		A
841433	01230753	3	UNK	UNK	LIF		A
843518	01233516	N	120	UNK	DTE	2019-10-15 00:00:00.0000000	A
843688	01233740	N	110	UNK	LIF		A
845989	01236738	3	UNK	UNK	DTE	2030-02-09 00:00:00.0000000	A
846834	01237799	2	090	BBB	LIF		A
847191	01238267	3	080	D	LIF		Q
847582	01238824	N	090	UNK	LIF		A
848806	01240400	2	090	UNK	LIF		A
849333	01241056	2	UNK	UNK	LIF		A
855867	01249547	2	105	UNK	LIF		A
856507	01250393	3	075	D	LIF		A
857100	01251161	3	110	UNK	LIF		A
858682	01253253	3	UNK	UNK	LIF		Q
859106	01253789	3	UNK	UNK	LIF		A
860182	01255175	N	090	UNK	LIF		A
860335	01255375	3	085	UNK	LIF		A
861084	01256399	2	095	UNK	LIF		Q
862645	01258482	3	085	UNK	LIF		Q
863737	01259983	3	120	UNK	LIF		A
865345	01262040	3	090	UNK	LIF		A
865631	01262399	3	UNK	UNK	LIF		A
867972	01265517	3	070	UNK	LIF		A
868800	01266601	N	100	UNK	DTE	2026-08-01 00:00:00.0000000	A
868849	01266664	2	UNK	UNK	LIF		Q
869230	01267148	N	105	UNK	LIF		Q
871550	01270236	N	UNK	UNK	LIF		A
873426	01272607	3	100	UNK	LIF		A
875490	01275354	3	UNK	UNK	LIF		A
878655	01279467	3	095	D	LIF		A
879741	01280865	2	090	D	LIF		A
880824	01282261	2	120	E	LIF		A
882649	01284712	3	100	UNK	LIF		A
882799	01284915	2	UNK	UNK	LIF		A
883187	01285415	N	110	UNK	LIF		Q
884093	01286577	3	UNK	UNK	LIF		Q
884842	01287542	3	UNK	UNK	LIF		A
885837	01288900	1	UNK	UNK	LIF		A
886988	01290377	3	080	UNK	LIF		Q
888233	01291973	3	090	UNK	LIF		Q
889427	01293534	3	UNK	UNK	LIF		A
894676	01300439	3	075	D	LIF		A
897661	01304372	N	100	UNK	LIF		A
898456	01305453	1	070	UNK	LIF		A
899310	01306547	3	100	BB	LIF		A
899828	01307241	2	105	UNK	LIF		A
902052	01310211	2	UNK	UNK	LIF		Q
902117	01310289	N	105	UNK	DTE	2025-08-01 00:00:00.0000000	A
902315	01310561	N	UNK	UNK	LIF		A
904995	01314023	N	105	D	DTE	2029-08-26 00:00:00.0000000	A
905080	01314126	N	090	D	LIF		A
905139	01314209	2	100	BB	LIF		Q
905810	01315130	3	115	UNK	LIF		Q
907695	01317643	3	075	UNK	LIF		A
909476	01320088	2	100	C	LIF		A
910552	01321468	3	095	UNK	LIF		Q
910786	01321763	1	100	UNK	LIF		A
911943	01323289	3	090	D	LIF		A
912840	01324526	3	120	UNK	LIF		A
916133	01328741	3	095	UNK	LIF		A
917167	01330138	3	080	UNK	LIF		Q
918037	01331256	3	100	UNK	LIF		A
918943	01332414	3	UNK	UNK	LIF		Q
920777	01334869	2	105	UNK	LIF		Q
923706	01338797	2	UNK	UNK	LIF		Q
925664	01341296	3	UNK	UNK	LIF		A
927813	01344201	3	105	UNK	LIF		A
928303	01344821	2	120	UNK	LIF		A
933431	01351603	3	UNK	UNK	LIF		Q
933668	01351961	2	105	D	LIF		Q
936662	01355988	2	UNK	UNK	LIF		Q
937141	01356623	2	085	UNK	LIF		A
937512	01357121	3	UNK	UNK	LIF		Q
937524	01357139	N	090	UNK	LIF		A
937976	01357725	2	095	UNK	LIF		A
938068	01357848	C	105	UNK	LIF		M
938485	01358396	3	UNK	UNK	LIF		Q
938618	01358563	N	UNK	UNK	LIF		A
940327	01360871	1	UNK	UNK	LIF		Q
940537	01361149	3	130	E	LIF		A
940701	01361358	3	UNK	UNK	LIF		Q
942410	01363723	2	115	C	DTE	2087-11-16 00:00:00.0000000	A
942796	01364204	2	UNK	UNK	LIF		Q
942867	01364298	1	UNK	UNK	LIF		A
944790	01366931	1	110	UNK	LIF		A
945177	01367444	2	100	E	LIF		A
945467	01367814	3	090	D	DTE	2020-03-20 00:00:00.0000000	A
946070	01368600	3	070	UNK	LIF		A
946280	01368885	3	095	UNK	LIF		A
946594	01369327	C	UNK	UNK	LIF		Q
947396	01370371	3	110	UNK	LIF		A
948019	01371185	3	UNK	UNK	LIF		A
948728	01372086	3	105	UNK	LIF		Q
949750	01373528	3	UNK	UNK	LIF		Q
949854	01373690	2	UNK	UNK	LIF		A
950077	01374004	N	UNK	UNK	LIF		A
952168	01376753	3	080	UNK	LIF		A
952800	01377569	N	UNK	UNK	LIF		Q
952949	01377781	3	UNK	UNK	LIF		A
953605	01378762	N	090	B	LIF		A
953638	01378818	2	100	C	LIF		A
954202	01379585	2	090	UNK	LIF		A
954349	01379778	2	085	UNK	LIF		A
954786	01380331	3	UNK	UNK	LIF		A
955091	01380725	N	100	UNK	LIF		A
956653	01382769	3	105	UNK	LIF		A
957442	01383849	N	UNK	UNK	LIF		A
957793	01384389	2	UNK	UNK	LIF		A
957900	01384536	1	100	UNK	LIF		Q
958679	01385604	N	120	UNK	LIF		A
960350	01387889	3	UNK	UNK	LIF		A
961252	01389106	3	095	UNK	LIF		A
962128	01390264	3	130	UNK	LIF		A
962383	01390587	N	110	UNK	LIF		A
965407	01394728	3	UNK	UNK	LIF		Q
966777	01396558	3	105	UNK	LIF		Q
967355	01397346	3	110	UNK	DTE	2033-04-24 00:00:00.0000000	A
967863	01398065	N	095	UNK	LIF		A
968658	01399110	3	UNK	UNK	LIF		A
970743	01401887	3	UNK	UNK	LIF		Q
971315	01402708	2	UNK	UNK	LIF		A
971687	01403197	2	105	UNK	LIF		A
971765	01403300	3	075	UNK	LIF		Q
972334	01404078	3	095	UNK	LIF		Q
972958	01404903	3	095	UNK	LIF		A
973114	01405104	2	070	UNK	LIF		Q
973226	01405290	2	100	D	LIF		A
973269	01405372	3	120	UNK	LIF		A
975214	01408012	3	120	UNK	LIF		A
976214	01409331	3	110	D	LIF		A
976280	01409417	3	085	UNK	LIF		A
977250	01410774	3	UNK	UNK	LIF		Q
979369	01413687	2	UNK	UNK	DTE	2042-03-24 00:00:00.0000000	A
980417	01415193	N	UNK	UNK	LIF		A
981093	01416108	2	120	UNK	LIF		A
981342	01416432	3	080	UNK	LIF		A
982390	01417871	3	UNK	UNK	LIF		A
983211	01419039	N	UNK	UNK	LIF		Q
983501	01419438	3	UNK	UNK	LIF		A
983932	01420022	3	110	UNK	LIF		A
984610	01420957	3	100	UNK	LIF		Q
984850	01421288	N	105	BB	LIF		A
985222	01421767	N	UNK	UNK	LIF		A
985515	01422153	N	090	UNK	LIF		A
986399	01423444	3	070	UNK	LIF		A
987226	01424552	3	UNK	UNK	LIF		A
987733	01425236	3	UNK	UNK	LIF		A
987762	01425270	3	095	UNK	LIF		A
989997	01428303	3	UNK	UNK	LIF		Q
990675	01429229	2	100	UNK	LIF		A
990771	01429350	3	UNK	UNK	LIF		A
990830	01429440	1	105	UNK	LIF		A
991874	01430922	3	080	UNK	LIF		A
993209	01432798	3	105	B	LIF		A
993472	01433155	3	090	UNK	LIF		A
994260	01434245	N	095	E	LIF		A
994295	01434291	3	UNK	UNK	LIF		Q
994685	01434820	3	070	UNK	DTE	2030-03-27 00:00:00.0000000	A
996027	01436684	3	085	D	LIF		Q
996266	01437012	3	UNK	UNK	LIF		A
