1049420	01895871
1049554	01896090
1051649	01899106
1051787	01899298
1052454	01900263
1052763	01900721
1053607	01901955
1054060	01902617
1054144	01902748
1054924	01903887
1055354	01904533
1055990	01905465
1056384	01906047
1056708	01906506
1056800	01906642
1057957	01908280
1059919	01911145
1059933	01911164
1060248	01911629
1060953	01912704
1060987	01912756
1061029	01912826
1061134	01912971
1061212	01913118
1061572	01913676
1063187	01916088
1063345	01916295
1063981	01917196
1064078	01917337
1065450	01919338
1065647	01919640
1065950	01920103
1066178	01920426
1066240	01920521
1066420	01920758
1067140	01921797
1067169	01921840
1067324	01922062
1067419	01922210
1067679	01922603
1068008	01923076
1070123	01926149
1070398	01926542
1070819	01927150
1071277	01927824
1071298	01927848
1071644	01928328
1071799	01928540
1072032	01928884
1072038	01928897
1072305	01929284
1072952	01930204
1072981	01930244
1073206	01930577
1073493	01930991
1073918	01931578
1074462	01932372
1074477	01932399
1075108	01933334
1075708	01934223
1077366	01936585
1077533	01936831
1078207	01937766
1078605	01938324
1078618	01938344
1079056	01938949
1079206	01939155
1079390	01939431
1079498	01939602
1079788	01940013
1079862	01940105
1080285	01940709
1081009	01941766
1081113	01941934
1081152	01941996
1081244	01942138
1081379	01942341
1081949	01943139
1082316	01943729
1082750	01944352
1083895	01945997
1084039	01946217
1084398	01946744
1084684	01947178
1084957	01947564
1084985	01947605
1084992	01947613
1085159	01947831
1085720	01948638
1085754	01948717
1086061	01949169
1086501	01949814
1087930	01951832
1088300	01952352
1088427	01952542
1089445	01953941
1090029	01954761
1090368	01955234
1090630	01955598
1091261	01956476
1091432	01956722
1091517	01956852
1091870	01957347
1091950	01957455
1093236	01959278
1094012	01960378
1094302	01960784
1095070	01961853
1095504	01962495
1096221	01963476
1097160	01964836
1097301	01965022
1097744	01965616
1097859	01965773
1098908	01967212
1099005	01967355
1099301	01967750
1100469	01969379
1101554	01970866
1102397	01972035
1102673	01972423
1102914	01972752
1102915	01972753
1102957	01972816
1103109	01973011
1103503	01973561
1104163	01974454
1105072	01975710
1105149	01975813
1106051	01977049
1106403	01977516
1107236	01978654
1107436	01978921
1108443	01980595
1109256	01981709
1109391	01981899
1110528	01983468
1110835	01983896
1111809	01985218
1112133	01985680
1113500	01987607
1113709	01987901
1115034	01989717
1115516	01990387
1116246	01991457
1116740	01992156
1117255	01992856
1117568	01993276
1117570	01993279
1118310	01994306
1118443	01994486
1118489	01994551
1119536	01996018
1119644	01996169
1119846	01996438
1120073	01996748
1121202	01998345
1121597	01998877
1121601	01998883
1121880	01999263
