,COUNTY_NAME,COUNTY_CODE,OFFENSE_TYPE_ID,OFFENSE_NAME,INCIDENT_COUNT
116,['ERATH'],[72],36,Rape,1
117,['FLOYD'],[77],36,Rape,1
118,['FORT BEND'],[79],36,Rape,17
119,"['HARRIS', ' FORT BEND']","[101, 79]",36,Rape,1
120,['FORT BEND'],[79],36,Rape,2
121,['GALVESTON'],[84],36,Rape,10
122,['GALVESTON'],[84],36,Rape,4
123,"['HARRIS', ' GALVESTON']","[101, 84]",36,Rape,1
124,['GALVESTON'],[84],36,Rape,5
125,['GALVESTON'],[84],36,Rape,1
126,"['HARRIS', ' GALVESTON']","[101, 84]",36,Rape,2
127,['GALVESTON'],[84],36,Rape,2
128,['GRAY'],[90],36,Rape,2
129,['GRAYSON'],[91],36,Rape,1
130,['GRAYSON'],[91],36,Rape,1
131,"['RUSK', ' GREGG']","[201, 92]",36,Rape,1
132,"['HARRISON', ' GREGG']","[102, 92]",36,Rape,2
133,['GRIMES'],[93],36,Rape,1
134,['GUADALUPE'],[94],36,Rape,1
135,['HARRIS'],[101],36,Rape,23
136,"['CHAMBERS', ' HARRIS']","[36, 101]",36,Rape,2
137,['HARRIS'],[101],36,Rape,1
138,['HARRIS'],[101],36,Rape,5
139,['HARRISON'],[102],36,Rape,2
140,"['CALDWELL', ' HAYS']","[28, 105]",36,Rape,6
141,['HAYS'],[105],36,Rape,1
142,['HIDALGO'],[108],36,Rape,7
143,['HIDALGO'],[108],36,Rape,2
144,['HIDALGO'],[108],36,Rape,8
145,['HIDALGO'],[108],36,Rape,2
146,['HIDALGO'],[108],36,Rape,1
147,['HIDALGO'],[108],36,Rape,2
148,['HILL'],[109],36,Rape,1
149,['HOCKLEY'],[110],36,Rape,3
150,['HOPKINS'],[112],36,Rape,7
151,['HOPKINS'],[112],36,Rape,2
152,['HOWARD'],[114],36,Rape,1
153,['HUNT'],[116],36,Rape,1
154,['HUTCHINSON'],[117],36,Rape,1
155,['JACKSON'],[120],36,Rape,1
156,['JEFFERSON'],[123],36,Rape,1
157,"['ORANGE', ' JEFFERSON']","[181, 123]",36,Rape,2
158,['JOHNSON'],[126],36,Rape,2
159,['KAUFMAN'],[129],36,Rape,10
160,['KAUFMAN'],[129],36,Rape,1
161,['KAUFMAN'],[129],36,Rape,1
162,['KENDALL'],[130],36,Rape,3
163,['KENDALL'],[130],36,Rape,2
164,['KERR'],[133],36,Rape,5
165,['LAMAR'],[139],36,Rape,5
166,['LAMPASAS'],[141],36,Rape,1
167,['LEE'],[144],36,Rape,1
168,['LIBERTY'],[146],36,Rape,2
169,['LIMESTONE'],[147],36,Rape,1
170,['LUBBOCK'],[152],36,Rape,3
171,['MCCULLOCH'],[154],36,Rape,1
172,['MCLENNAN'],[155],36,Rape,3
173,['MCLENNAN'],[155],36,Rape,3
174,['MCLENNAN'],[155],36,Rape,4
175,['MCLENNAN'],[155],36,Rape,1
176,['MCLENNAN'],[155],36,Rape,16
177,['MEDINA'],[163],36,Rape,2
178,['MILAM'],[166],36,Rape,1
179,['MONTGOMERY'],[170],36,Rape,1
180,['MONTGOMERY'],[170],36,Rape,3
181,['MORRIS'],[172],36,Rape,1
182,['NACOGDOCHES'],[174],36,Rape,7
183,['NACOGDOCHES'],[174],36,Rape,3
184,['NAVARRO'],[175],36,Rape,1
185,['NAVARRO'],[175],36,Rape,7
186,['NEWTON'],[176],36,Rape,1
187,['NUECES'],[178],36,Rape,6
188,"['PARKER', ' PALO PINTO']","[184, 182]",36,Rape,2
189,['PARKER'],[184],36,Rape,1
190,['POLK'],[187],36,Rape,8
191,['POLK'],[187],36,Rape,1
192,"['RANDALL', ' POTTER']","[191, 188]",36,Rape,20
193,['RANDALL'],[191],36,Rape,1
194,['ROCKWALL'],[199],36,Rape,5
195,['ROCKWALL'],[199],36,Rape,1
196,['RUSK'],[201],36,Rape,8
197,['SAN PATRICIO'],[205],36,Rape,1
198,['SHELBY'],[210],36,Rape,2
199,['SMITH'],[212],36,Rape,6
200,['TARRANT'],[220],36,Rape,4
201,['TARRANT'],[220],36,Rape,2
202,['TARRANT'],[220],36,Rape,1
203,['TARRANT'],[220],36,Rape,1
204,"['PARKER', ' DENTON', ' TARRANT']","[184, 61, 220]",36,Rape,83
205,['TARRANT'],[220],36,Rape,6
206,['TARRANT'],[220],36,Rape,3
207,"['ELLIS', ' JOHNSON', ' TARRANT']","[70, 126, 220]",36,Rape,3
208,['TARRANT'],[220],36,Rape,2
209,['TARRANT'],[220],36,Rape,1
210,['TITUS'],[225],36,Rape,3
211,['TOM GREEN'],[226],36,Rape,9
212,['TOM GREEN'],[226],36,Rape,2
213,['TRAVIS'],[227],36,Rape,3
214,"['WILLIAMSON', ' TRAVIS']","[246, 227]",36,Rape,60
215,['TRAVIS'],[227],36,Rape,3
216,['VICTORIA'],[235],36,Rape,2
217,['WALKER'],[236],36,Rape,2
218,['WALKER'],[236],36,Rape,2
219,['WEBB'],[240],36,Rape,15
220,['WHARTON'],[241],36,Rape,1
221,['WICHITA'],[243],36,Rape,1
222,['WILLACY'],[245],36,Rape,1
223,['WILLACY'],[245],36,Rape,1
224,['WILLIAMSON'],[246],36,Rape,1
225,['WILLIAMSON'],[246],36,Rape,5
226,"['TRAVIS', ' WILLIAMSON']","[227, 246]",36,Rape,2
227,['WILSON'],[247],36,Rape,1
228,['WINKLER'],[248],36,Rape,1
229,['WISE'],[249],36,Rape,1
230,['ZAVALA'],[254],36,Rape,1
231,"['DENTON', ' COLLIN', ' DALLAS']","[61, 43, 57]",36,Rape,56
232,"['MONTGOMERY', ' FORT BEND', ' HARRIS']","[170, 79, 101]",36,Rape,112
233,"['MEDINA', ' BEXAR']","[163, 15]",36,Rape,1
234,['ROCKWALL'],[199],36,Rape,1
235,['WILLIAMSON'],[246],36,Rape,1
236,['KAUFMAN'],[129],36,Rape,1
237,['ROBERTSON'],[198],36,Rape,3
238,['ANDREWS'],[2],56,Fondling,2
239,['ARANSAS'],[4],56,Fondling,1
240,['ATASCOSA'],[7],56,Fondling,2
241,['BELL'],[14],56,Fondling,3
242,['BELL'],[14],56,Fondling,1
243,['BELL'],[14],56,Fondling,2
244,['BELL'],[14],56,Fondling,5
245,['BEXAR'],[15],56,Fondling,1
246,['BEXAR'],[15],56,Fondling,1
247,"['FORT BEND', ' HARRIS', ' BRAZORIA']","[79, 101, 20]",56,Fondling,4
248,['BURNET'],[27],56,Fondling,1
249,['CALDWELL'],[28],56,Fondling,1
250,['CALHOUN'],[29],56,Fondling,2
251,['CAMERON'],[31],56,Fondling,14
252,['CAMERON'],[31],56,Fondling,5
253,['CAMP'],[32],56,Fondling,2
254,['CHAMBERS'],[36],56,Fondling,1
255,['CHEROKEE'],[37],56,Fondling,4
256,['COLLIN'],[43],56,Fondling,1
257,"['DENTON', ' COLLIN']","[61, 43]",56,Fondling,2
258,['COLLIN'],[43],56,Fondling,7
