,COUNTY_CODE,OFFENSE_TYPE_ID,INCIDENT_COUNT
310,[139],56,1
311,[139],56,1
312,[141],56,1
313,[144],56,1
314,[147],56,3
315,[147],56,1
316,[155],56,4
317,[155],56,2
318,[155],56,2
319,[170],56,1
320,[171],56,1
321,[174],56,2
322,[175],56,1
323,[178],56,14
324,[184],56,1
325,[187],56,3
326,[187],56,1
327,"[191, 188]",56,9
328,[199],56,1
329,"[116, 43, 199]",56,1
330,[201],56,1
331,[210],56,2
332,[212],56,1
333,[214],56,1
334,[220],56,5
335,[220],56,1
336,"[126, 220]",56,1
337,"[184, 61, 220]",56,18
338,[220],56,3
339,[220],56,1
340,[220],56,1
341,"[70, 126, 220]",56,1
342,[220],56,3
343,[225],56,1
344,[227],56,2
345,"[246, 227]",56,32
346,[227],56,1
347,[230],56,1
348,[236],56,2
349,[236],56,6
350,[240],56,1
351,[240],56,15
352,[241],56,1
353,"[227, 246]",56,1
354,"[227, 246]",56,1
355,[247],56,1
356,[249],56,1
357,"[61, 43, 57]",56,14
358,"[170, 79, 101]",56,20
359,"[163, 15]",56,2
360,[199],56,1
361,"[178, 4, 205]",8,1
362,[11],8,1
363,[14],8,2
364,[14],8,2
365,[14],8,1
366,[15],8,1
367,"[79, 101, 20]",8,6
368,[21],8,4
369,[25],8,1
370,[27],8,1
371,[29],8,2
372,[31],8,1
373,[31],8,1
374,[36],8,3
375,[36],8,1
376,[43],8,14
377,"[61, 43]",8,1
378,[43],8,2
379,"[61, 43]",8,5
380,"[57, 199, 43]",8,1
381,"[94, 46]",8,2
382,[50],8,2
383,"[43, 57, 61]",8,2
384,"[43, 57]",8,3
385,"[70, 220, 57]",8,2
386,[57],8,9
387,"[129, 57]",8,2
388,"[43, 57]",8,1
389,[61],8,7
390,"[57, 61]",8,1
391,[70],8,1
392,[71],8,4
393,[79],8,1
394,[81],8,2
395,"[101, 84]",8,1
396,[91],8,1
397,[92],8,2
398,[100],8,1
399,[101],8,9
400,"[36, 101]",8,1
401,[101],8,2
402,[101],8,1
403,[105],8,1
404,[108],8,1
405,[108],8,1
406,[108],8,1
407,[109],8,1
408,[110],8,1
409,[112],8,9
410,[121],8,2
411,[129],8,3
412,[129],8,1
413,[130],8,1
414,[139],8,1
415,[141],8,2
416,[144],8,1
417,[152],8,4
418,[155],8,2
419,[166],8,1
420,[170],8,6
421,[170],8,4
422,[175],8,1
423,[178],8,1
424,[187],8,1
425,"[191, 188]",8,3
426,[191],8,1
427,[199],8,4
428,[201],8,1
429,[203],8,1
430,[205],8,3
431,[212],8,2
432,[220],8,1
433,[220],8,3
434,"[184, 61, 220]",8,6
435,[220],8,1
436,[220],8,2
437,"[127, 221]",8,32
438,[227],8,1
439,"[246, 227]",8,10
440,[227],8,1
441,[227],8,1
442,[227],8,1
443,[236],8,2
444,[240],8,9
445,[241],8,1
446,[246],8,1
447,[249],8,4
448,[252],8,1
449,"[61, 43, 57]",8,4
450,"[170, 79, 101]",8,13
451,"[163, 15]",8,1
452,[214],8,1
453,[14],30,6
454,[14],30,2
455,[14],30,1
456,[21],30,1
457,"[61, 43]",30,2
458,[43],30,2
459,"[61, 43]",30,6
460,"[94, 46]",30,2
461,"[43, 57]",30,1
462,"[43, 57]",30,12
463,[79],30,1
464,"[101, 79]",30,3
465,"[101, 84]",30,1
466,[84],30,1
467,[90],30,2
468,"[102, 92]",30,1
469,[101],30,9
470,[101],30,1
471,[101],30,1
472,[101],30,3
473,[105],30,1
474,[112],30,1
475,[123],30,21
476,[152],30,32
477,[155],30,5
478,[170],30,1
479,[174],30,1
480,[175],30,1
481,[178],30,36
482,"[191, 188]",30,1
483,[220],30,4
484,"[184, 61, 220]",30,20
485,[220],30,2
486,"[246, 227]",30,32
487,[235],30,3
488,[239],30,1
489,[240],30,4
490,[249],30,1
491,"[61, 43, 57]",30,375
492,"[170, 79, 101]",30,335
493,"[163, 15]",30,48
494,[14],4,1
495,[19],4,1
496,[21],4,1
497,[25],4,2
498,[27],4,1
499,[31],4,2
500,[31],4,1
501,[32],4,1
502,[36],4,1
503,"[61, 43]",4,1
504,[43],4,1
505,"[61, 43]",4,4
506,[49],4,1
507,"[129, 57]",4,2
508,"[43, 57]",4,2
509,[61],4,1
510,"[57, 61]",4,3
511,[61],4,1
512,[79],4,2
513,[91],4,1
514,"[201, 92]",4,1
515,[101],4,2
516,"[28, 105]",4,1
517,[109],4,1
518,[112],4,1
519,[129],4,2
520,[147],4,1
521,[170],4,1
522,[187],4,4
523,"[191, 188]",4,9
524,[220],4,2
525,[220],4,1
526,[220],4,1
527,"[246, 227]",4,12
528,[238],4,1
529,[243],4,1
530,[244],4,1
531,[246],4,1
532,[246],4,3
533,[249],4,1
534,[14],43,2
535,[15],43,1
536,[27],43,1
537,[31],43,3
538,"[61, 43]",43,2
539,[43],43,1
540,"[61, 43]",43,8
541,"[94, 46]",43,1
542,[49],43,1
543,"[103, 56]",43,1
544,[57],43,1
545,[57],43,1
546,[57],43,2
547,"[129, 57]",43,5
548,"[43, 57]",43,1
549,"[220, 61]",43,1
550,[66],43,1
551,[71],43,2
552,"[102, 92]",43,2
553,[108],43,1
554,[109],43,1
555,[117],43,1
556,[123],43,2
557,[155],43,2
558,[155],43,1
559,[163],43,1
560,[170],43,3
561,[170],43,2
562,[174],43,1
563,[178],43,1
564,[187],43,1
565,"[191, 188]",43,1
566,[199],43,1
567,[203],43,2
568,"[184, 61, 220]",43,1
569,[220],43,1
570,[220],43,1
571,[226],43,1
572,"[246, 227]",43,1
573,[227],43,1
574,[236],43,1
575,[239],43,1
576,[240],43,1
577,[241],43,1
578,[243],43,2
579,[246],43,2
580,[247],43,1
581,[252],43,1
582,"[61, 43, 57]",43,3
583,[14],61,13
584,"[101, 84]",61,1
585,[105],61,1
586,"[184, 61, 220]",61,19
587,[243],61,1
588,"[61, 43, 57]",61,43
589,[21],15,1
590,[36],15,1
591,"[101, 79]",15,2
592,[101],15,4
593,[152],15,31
594,[155],15,10
595,[155],15,1
596,[178],15,26
597,"[184, 61, 220]",15,2
598,"[127, 221]",15,4
599,[240],15,1
600,"[61, 43, 57]",15,4
601,"[170, 79, 101]",15,36
602,[109],55,1
603,[150],55,1
604,[155],55,1
605,[174],55,1
606,"[184, 61, 220]",55,2
607,"[246, 227]",55,1
608,[244],55,1
609,"[170, 79, 101]",55,1
610,[155],33,2
611,[226],33,1
